#auto generated file!
TIME;EDGE SERVER 0 (device connected);EDGE SERVER 1 (device connected)
12,0;14;16
24,0;18;12
36,0;12;18
48,0;16;14
60,0;13;17
72,0;16;14
84,0;19;11
96,0;14;16
108,0;16;14
120,0;17;13
132,0;12;18
144,0;19;11
156,0;11;19
168,0;11;19
180,0;17;13
192,0;18;12
204,0;14;16
216,0;13;17
228,0;10;20
240,0;17;13
252,0;19;11
264,0;18;12
276,0;15;15
288,0;11;19
300,0;16;14
312,0;18;12
324,0;20;10
336,0;11;19
348,0;16;14
360,0;16;14
372,0;14;16
384,0;16;14
396,0;12;18
408,0;16;14
420,0;15;15
432,0;14;16
444,0;16;14
456,0;14;16
468,0;15;15
480,0;15;15
492,0;16;14
504,0;16;14
516,0;15;15
528,0;15;15
540,0;13;17
552,0;14;16
564,0;17;13
576,0;13;17
588,0;15;15
600,0;15;15
612,0;8;22
624,0;11;19
636,0;11;19
648,0;15;15
660,0;13;17
672,0;18;12
684,0;16;14
696,0;19;11
708,0;19;11
720,0;16;14
732,0;11;19
744,0;15;15
756,0;16;14
768,0;12;18
780,0;13;17
792,0;9;21
804,0;12;18
816,0;14;16
828,0;14;16
840,0;15;15
852,0;14;16
864,0;15;15
876,0;21;9
888,0;12;18
900,0;13;17
912,0;11;19
924,0;15;15
936,0;17;13
948,0;13;17
960,0;14;16
972,0;14;16
984,0;17;13
996,0;17;13
1008,0;16;14
1020,0;15;15
1032,0;19;11
1044,0;15;15
1056,0;19;11
1068,0;11;19
1080,0;15;15
1092,0;13;17
1104,0;15;15
1116,0;14;16
1128,0;14;16
1140,0;15;15
1152,0;10;20
1164,0;17;13
1176,0;11;19
1188,0;19;11
1200,0;12;18
1212,0;15;15
1224,0;18;12
1236,0;18;12
1248,0;12;18
1260,0;15;15
1272,0;20;10
1284,0;17;13
1296,0;12;18
1308,0;11;19
1320,0;20;10
1332,0;20;10
1344,0;15;15
1356,0;15;15
1368,0;15;15
1380,0;14;16
1392,0;13;17
1404,0;15;15
1416,0;16;14
1428,0;17;13
1440,0;12;18
1452,0;13;17
1464,0;17;13
1476,0;14;16
1488,0;14;16
1500,0;12;18
1512,0;18;12
1524,0;17;13
1536,0;16;14
1548,0;14;16
1560,0;17;13
1572,0;16;14
1584,0;17;13
1596,0;18;12
1608,0;18;12
1620,0;15;15
1632,0;12;18
1644,0;18;12
1656,0;16;14
1668,0;10;20
1680,0;12;18
1692,0;11;19
1704,0;11;19
1716,0;15;15
1728,0;13;17
1740,0;18;12
1752,0;21;9
1764,0;17;13
1776,0;16;14
1788,0;15;15
1800,0;17;13
1812,0;14;16
1824,0;12;18
1836,0;15;15
1848,0;16;14
1860,0;16;14
1872,0;20;10
1884,0;13;17
1896,0;14;16
1908,0;13;17
1920,0;13;17
1932,0;13;17
1944,0;15;15
1956,0;22;8
1968,0;21;9
1980,0;18;12
1992,0;19;11
2004,0;14;16
2016,0;13;17
2028,0;13;17
2040,0;11;19
2052,0;15;15
2064,0;19;11
2076,0;14;16
2088,0;10;20
2100,0;16;14
2112,0;17;13
2124,0;17;13
2136,0;15;15
2148,0;18;12
2160,0;18;12
2172,0;16;14
2184,0;19;11
2196,0;17;13
2208,0;18;12
2220,0;17;13
2232,0;10;20
2244,0;14;16
2256,0;19;11
2268,0;16;14
2280,0;16;14
2292,0;17;13
2304,0;16;14
2316,0;14;16
2328,0;12;18
2340,0;13;17
2352,0;14;16
2364,0;16;14
2376,0;15;15
2388,0;13;17
2400,0;13;17
2412,0;14;16
2424,0;6;24
2436,0;18;12
2448,0;15;15
2460,0;16;14
2472,0;15;15
2484,0;15;15
2496,0;13;17
2508,0;16;14
2520,0;14;16
2532,0;11;19
2544,0;12;18
2556,0;16;14
2568,0;16;14
2580,0;14;16
2592,0;15;15
2604,0;13;17
2616,0;13;17
2628,0;17;13
2640,0;15;15
2652,0;17;13
2664,0;10;20
2676,0;14;16
2688,0;13;17
2700,0;12;18
2712,0;17;13
2724,0;17;13
2736,0;13;17
2748,0;18;12
2760,0;16;14
2772,0;14;16
2784,0;13;17
2796,0;15;15
2808,0;14;16
2820,0;11;19
2832,0;15;15
2844,0;18;12
2856,0;13;17
2868,0;10;20
2880,0;13;17
2892,0;13;17
2904,0;12;18
2916,0;12;18
2928,0;11;19
2940,0;17;13
2952,0;12;18
2964,0;17;13
2976,0;17;13
2988,0;16;14
3000,0;16;14
3012,0;12;18
3024,0;16;14
3036,0;17;13
3048,0;15;15
3060,0;13;17
3072,0;16;14
3084,0;13;17
3096,0;15;15
3108,0;14;16
3120,0;12;18
3132,0;14;16
3144,0;18;12
3156,0;13;17
3168,0;12;18
3180,0;14;16
3192,0;15;15
3204,0;17;13
3216,0;14;16
3228,0;18;12
3240,0;16;14
3252,0;11;19
3264,0;16;14
3276,0;13;17
3288,0;19;11
3300,0;11;19
3312,0;10;20
3324,0;18;12
3336,0;13;17
3348,0;12;18
3360,0;13;17
3372,0;15;15
3384,0;17;13
3396,0;17;13
3408,0;15;15
3420,0;11;19
3432,0;11;19
3444,0;20;10
3456,0;10;20
3468,0;18;12
3480,0;13;17
3492,0;9;21
3504,0;13;17
3516,0;12;18
3528,0;19;11
3540,0;17;13
3552,0;20;10
3564,0;14;16
3576,0;19;11
3588,0;19;11
