#auto generated file!
taskId;TASK_STATUS;deviceId(mobile);datacenterId(type);hostId (i.e., EdgeServerId);vmId;vmType;ApplicationID(taskType);taskLenght (Million Instruction);taskInputSize(KB, namely data to be uploaded);taskOutputSize(KB, namely data to be downloaded);taskStartTime(millisecond);taskEndTime(millisecond);taskStartDeviceEnergy(Watt-Hour);taskEndDeviceEnergy(Watt-Hour);taskStartDeviceEnergyPerc;taskEndDeviceEnergyPerc;getNetworkDelay;WLAN_DELAY;MAN_DELAY;WAN_DELAY;GSM_DELAY;TASK_FAIL_REASON
290;COMPLETED;6;1001;9;11;0;0;5755;1;3;180,13113872577364;181,56972742614852;3,0024626262365444;3,001629292523442;97,34326750631215;97,31624987556872;0,0;0,0;0,0;0,0;0,0;COMLETED
293;COMPLETED;0;1001;3;5;0;0;69;5;1;181,58324047639422;181,6004904763942;8,636385977228315;8,636108199256578;99,0506224772868;99,04743664456885;0,0;0,0;0,0;0,0;0,0;COMLETED
291;COMPLETED;17;1001;20;22;0;0;2504;1;1;181,16297742614853;181,78874047639422;3,0601525759444237;3,0593192424748765;97,38343676478881;97,35691753895885;0,0;0,0;0,0;0,0;0,0;COMLETED
292;COMPLETED;24;1001;27;29;0;0;2698;1;1;181,44353194121615;182,11799047639423;3,492517447471995;3,4919618917802255;97,69231892456901;97,67677898106494;0,0;0,0;0,0;0,0;0,0;COMLETED
295;COMPLETED;24;1001;27;29;0;0;410;1;1;182,62569046307686;182,72819046307686;3,4916841140024477;3,491406336088456;97,669009011218;97,66123903756088;0,0;0,0;0,0;0,0;0,0;COMLETED
296;COMPLETED;9;1001;12;14;0;0;136;1;1;182,76674136634395;182,80074136634394;8,225207718902325;8,224929940988334;98,99370639610976;98,99036322640502;0,0;0,0;0,0;0,0;0,0;COMLETED
297;COMPLETED;9;1001;12;14;0;0;1656;1;1;183,24203848972198;183,65603848972196;8,224929940988334;8,224652163074342;98,99036322640502;98,98702005670029;0,0;0,0;0,0;0,0;0,0;COMLETED
294;COMPLETED;27;1001;30;32;0;0;5514;1;1;182,39720247666088;183,77549136634394;1,6655047998367751;1,6641159108116723;95,2500606115564;95,17063018071242;0,0;0,0;0,0;0,0;0,0;COMLETED
298;COMPLETED;7;1001;10;12;0;0;882;1;1;183,75768843742676;183,97799136634393;4,782753537169501;4,78247575925551;98,27063798479544;98,26493051678274;0,0;0,0;0,0;0,0;0,0;COMLETED
300;COMPLETED;16;1001;19;21;0;0;680;1;1;184,3000083435197;184,46982423703707;7,725818558922244;7,724985225452697;98,91528351518477;98,90461417111794;0,0;0,0;0,0;0,0;0,0;COMLETED
