#auto generated file!
time(LOGICAL);LoadOnEdge;LoadOnCloud;LoadOnMobile;energyConsumptionOnEdge;energyConsumptionOnCloud;energyConsumptionOnMobile
30,0;0,0;0,0;0,0;0,0;0,0;0,36666667435867795
60,0;0,0;0,0;0,0;0,0;0,0;0,8250000160588008
90,0;0,0;0,0;0,0;0,0;0,0;1,2333333578229602
120,0;0,0;0,0;0,0;0,0;0,0;1,6333333649927015
150,0;0,0;0,0;0,0;0,0;0,0;2,0250000397311516
180,0;0,0;0,0;0,0;0,0;0,0;2,458333380894571
210,0;0,0;0,0;0,0;0,0;0,0;2,9333333894697597
240,0;0,0;0,0;0,0;0,0;0,0;3,3916667313556994
270,0;0,0;0,0;0,0;0,0;0,0;4,000000076539631
300,0;0,0;0,0;0,0;0,0;0,0;4,483333420153019
330,0;0,0;0,0;0,0;0,0;0,0;4,975000096340201
360,0;0,0;0,0;0,0;0,0;0,0;5,475000106240485
390,0;0,0;0,0;0,0;0,0;0,0;5,858333447358718
420,0;0,0;0,0;0,0;0,0;0,0;6,350000124885454
450,0;0,0;0,0;0,0;0,0;0,0;6,791666799904456
480,0;0,0;0,0;0,0;0,0;0,0;7,158333474384897
510,0;0,0;0,0;0,0;0,0;0,0;7,616666816221217
540,0;0,0;0,0;0,0;0,0;0,0;8,125000159985253
570,0;0,0;0,0;0,0;0,0;0,0;8,450000166057118
600,0;0,0;0,0;0,0;0,0;0,0;8,891666840589009
630,0;0,0;0,0;0,0;0,0;0,0;9,400000182677033
660,0;0,0;0,0;0,0;0,0;0,0;9,833333524412296
690,0;0,0;0,0;0,0;0,0;0,0;10,341666868004957
720,0;0,0;0,0;0,0;0,0;0,0;10,950000212536679
750,0;0,0;0,0;0,0;0,0;0,0;11,425000222651647
780,0;0,0;0,0;0,0;0,0;0,0;11,791666896572794
810,0;0,0;0,0;0,0;0,0;0,0;12,19166690376324
840,0;0,0;0,0;0,0;0,0;0,0;12,5250002443592
870,0;0,0;0,0;0,0;0,0;0,0;12,883333584854112
900,0;0,0;0,0;0,0;0,0;0,0;13,275000259105433
930,0;0,0;0,0;0,0;0,0;0,0;13,658333599794295
960,0;0,0;0,0;0,0;0,0;0,0;14,033333607686536
990,0;0,0;0,0;0,0;0,0;0,0;14,516666952001723
1020,0;0,0;0,0;0,0;0,0;0,0;15,016666963328179
1050,0;0,0;0,0;0,0;0,0;0,0;15,541666974561831
1080,0;0,0;0,0;0,0;0,0;0,0;16,008333649667545
1110,0;0,0;0,0;0,0;0,0;0,0;16,475000326228304
1140,0;0,0;0,0;0,0;0,0;0,0;17,000000335992475
1170,0;0,0;0,0;0,0;0,0;0,0;17,400000344371907
1200,0;0,0;0,0;0,0;0,0;0,0;17,875000353799617
1230,0;0,0;0,0;0,0;0,0;0,0;18,208333694659924
1260,0;0,0;0,0;0,0;0,0;0,0;18,666667036087688
1290,0;0,0;0,0;0,0;0,0;0,0;19,025000375823133
1320,0;0,0;0,0;0,0;0,0;0,0;19,383333716074556
1350,0;0,0;0,0;0,0;0,0;0,0;19,791667057494173
1380,0;0,0;0,0;0,0;0,0;0,0;20,2333337325277
1410,0;0,0;0,0;0,0;0,0;0,0;20,591667073158895
1440,0;0,0;0,0;0,0;0,0;0,0;20,941667080399007
1470,0;0,0;0,0;0,0;0,0;0,0;21,416667089510977
1500,0;0,0;0,0;0,0;0,0;0,0;21,883333764364988
1530,0;0,0;0,0;0,0;0,0;0,0;22,458333774853546
1560,0;0,0;0,0;0,0;0,0;0,0;23,033333785944706
1590,0;0,0;0,0;0,0;0,0;0,0;23,55000046162416
1620,0;0,0;0,0;0,0;0,0;0,0;23,96666713629864
1650,0;0,0;0,0;0,0;0,0;0,0;24,350000478457055
1680,0;0,0;0,0;0,0;0,0;0,0;24,741667153769296
1710,0;0,0;0,0;0,0;0,0;0,0;25,225000496579923
1740,0;0,0;0,0;0,0;0,0;0,0;25,791667173462727
1770,0;0,0;0,0;0,0;0,0;0,0;26,233333848496255
1800,0;0,0;0,0;0,0;0,0;0,0;26,61666719003135
1830,0;0,0;0,0;0,0;0,0;0,0;26,9666671964479
1860,0;0,0;0,0;0,0;0,0;0,0;27,366667204827323
1890,0;0,0;0,0;0,0;0,0;0,0;27,825000546440908
1920,0;0,0;0,0;0,0;0,0;0,0;28,358333890685877
1950,0;0,0;0,0;0,0;0,0;0,0;28,841667232780285
1980,0;0,0;0,0;0,0;0,0;0,0;29,416667244230492
2010,0;0,0;0,0;0,0;0,0;0,0;29,933333920776807
2040,0;0,0;0,0;0,0;0,0;0,0;30,40000059743047
2070,0;0,0;0,0;0,0;0,0;0,0;30,95833394214812
2100,0;0,0;0,0;0,0;0,0;0,0;31,41666728479366
2130,0;0,0;0,0;0,0;0,0;0,0;31,77500062495218
2160,0;0,0;0,0;0,0;0,0;0,0;32,1833339665306
2190,0;0,0;0,0;0,0;0,0;0,0;32,64166730928348
2220,0;0,0;0,0;0,0;0,0;0,0;33,07500065019525
2250,0;0,0;0,0;0,0;0,0;0,0;33,50833399186658
2280,0;0,0;0,0;0,0;0,0;0,0;33,91666733296417
2310,0;0,0;0,0;0,0;0,0;0,0;34,41666734277165
2340,0;0,0;0,0;0,0;0,0;0,0;33,72861177841177
2370,0;0,0;0,0;0,0;0,0;0,0;34,26833401168813
2400,0;0,0;0,0;0,0;0,0;0,0;34,67916735293009
2430,0;0,0;0,0;0,0;0,0;0,0;35,2108340293898
2460,0;0,0;0,0;0,0;0,0;0,0;35,6377784820856
2490,0;0,0;0,0;0,0;0,0;0,0;36,1050007135127
2520,0;0,0;0,0;0,0;0,0;0,0;36,580278500216636
2550,0;0,0;0,0;0,0;0,0;0,0;36,93472295193006
2580,0;0,0;0,0;0,0;0,0;0,0;37,37777851702066
2610,0;0,0;0,0;0,0;0,0;0,0;37,7805563019538
2640,0;0,0;0,0;0,0;0,0;0,0;38,21555631057866
2670,0;0,0;0,0;0,0;0,0;0,0;38,71500076372016
2700,0;0,0;0,0;0,0;0,0;0,0;39,02916743676006
2730,0;0,0;0,0;0,0;0,0;0,0;39,51250077876154
2760,0;0,0;0,0;0,0;0,0;0,0;39,907223007837835
2790,0;0,0;0,0;0,0;0,0;0,0;40,36638968310047
2820,0;0,0;0,0;0,0;0,0;0,0;40,94638969529393
2850,0;0,0;0,0;0,0;0,0;0,0;41,534445262842674
2880,0;0,0;0,0;0,0;0,0;0,0;42,025834160556684
2910,0;0,0;0,0;0,0;0,0;0,0;42,460834169711966
2940,0;0,0;0,0;0,0;0,0;0,0;42,92000084450193
2970,0;0,0;0,0;0,0;0,0;0,0;43,36305640865348
3000,0;0,0;0,0;0,0;0,0;0,0;43,74166752718422
3030,0;0,0;0,0;0,0;0,0;0,0;44,25722309158748
3060,0;0,0;0,0;0,0;0,0;0,0;44,603611986385076
3090,0;0,0;0,0;0,0;0,0;0,0;44,99027865999871
3120,0;0,0;0,0;0,0;0,0;0,0;45,36083422207814
3150,0;0,0;0,0;0,0;0,0;0,0;45,81194534335391
3180,0;0,0;0,0;0,0;0,0;0,0;46,24694535114704
3210,0;0,0;0,0;0,0;0,0;0,0;46,82694536053961
3240,0;0,0;0,0;0,0;0,0;0,0;47,30222314828179
3270,0;0,0;0,0;0,0;0,0;0,0;47,76138982390351
3300,0;0,0;0,0;0,0;0,0;0,0;48,29305650014223
3330,0;0,0;0,0;0,0;0,0;0,0;48,64750095171316
3360,0;0,0;0,0;0,0;0,0;0,0;49,066389849398284
3390,0;0,0;0,0;0,0;0,0;0,0;49,5094454135065
3420,0;0,0;0,0;0,0;0,0;0,0;49,83972319858214
3450,0;0,0;0,0;0,0;0,0;0,0;50,298889875105885
3480,0;0,0;0,0;0,0;0,0;0,0;50,701667660668626
3510,0;0,0;0,0;0,0;0,0;0,0;49,342223184523256
3540,0;0,0;0,0;0,0;0,0;0,0;49,77777874876769
3570,0;0,0;0,0;0,0;0,0;0,0;48,47250094634137
