#auto generated file!
TIME;EDGE SERVER 0 (device connected);EDGE SERVER 1 (device connected)
12,0;11;19
24,0;14;16
36,0;13;17
48,0;17;13
60,0;13;17
72,0;17;13
84,0;16;14
96,0;17;13
108,0;18;12
120,0;14;16
132,0;14;16
144,0;13;17
156,0;7;23
168,0;14;16
180,0;17;13
192,0;12;18
204,0;10;20
216,0;15;15
228,0;18;12
240,0;13;17
252,0;18;12
264,0;16;14
276,0;17;13
288,0;9;21
300,0;13;17
312,0;15;15
324,0;13;17
336,0;16;14
348,0;23;7
360,0;16;14
372,0;16;14
384,0;17;13
396,0;19;11
408,0;16;14
420,0;15;15
432,0;18;12
444,0;14;16
456,0;15;15
468,0;22;8
480,0;13;17
492,0;12;18
504,0;12;18
516,0;15;15
528,0;11;19
540,0;21;9
552,0;14;16
564,0;13;17
576,0;15;15
588,0;12;18
600,0;13;17
612,0;12;18
624,0;16;14
636,0;13;17
648,0;17;13
660,0;20;10
672,0;12;18
684,0;17;13
696,0;16;14
708,0;19;11
720,0;17;13
732,0;11;19
744,0;14;16
756,0;15;15
768,0;14;16
780,0;12;18
792,0;15;15
804,0;12;18
816,0;14;16
828,0;16;14
840,0;11;19
852,0;12;18
864,0;14;16
876,0;17;13
888,0;17;13
900,0;16;14
912,0;16;14
924,0;13;17
936,0;13;17
948,0;16;14
960,0;13;17
972,0;18;12
984,0;16;14
996,0;18;12
1008,0;11;19
1020,0;14;16
1032,0;16;14
1044,0;21;9
1056,0;15;15
1068,0;14;16
1080,0;14;16
1092,0;15;15
1104,0;18;12
1116,0;16;14
1128,0;16;14
1140,0;18;12
1152,0;16;14
1164,0;12;18
1176,0;17;13
1188,0;16;14
1200,0;20;10
1212,0;14;16
1224,0;14;16
1236,0;14;16
1248,0;16;14
1260,0;14;16
1272,0;14;16
1284,0;13;17
1296,0;16;14
1308,0;16;14
1320,0;15;15
1332,0;20;10
1344,0;17;13
1356,0;12;18
1368,0;12;18
1380,0;18;12
1392,0;14;16
1404,0;11;19
1416,0;15;15
1428,0;18;12
1440,0;17;13
1452,0;10;20
1464,0;11;19
1476,0;15;15
1488,0;14;16
1500,0;19;11
1512,0;14;16
1524,0;16;14
1536,0;22;8
1548,0;14;16
1560,0;12;18
1572,0;15;15
1584,0;14;16
1596,0;13;17
1608,0;14;16
1620,0;17;13
1632,0;14;16
1644,0;14;16
1656,0;17;13
1668,0;13;17
1680,0;17;13
1692,0;11;19
1704,0;20;10
1716,0;18;12
1728,0;17;13
1740,0;16;14
1752,0;16;14
1764,0;15;15
1776,0;16;14
1788,0;17;13
1800,0;18;12
1812,0;16;14
1824,0;18;12
1836,0;15;15
1848,0;18;12
1860,0;17;13
1872,0;12;18
1884,0;15;15
1896,0;13;17
1908,0;16;14
1920,0;16;14
1932,0;16;14
1944,0;16;14
1956,0;16;14
1968,0;17;13
1980,0;15;15
1992,0;17;13
2004,0;11;19
2016,0;14;16
2028,0;10;20
2040,0;15;15
2052,0;15;15
2064,0;17;13
2076,0;20;10
2088,0;13;17
2100,0;17;13
2112,0;18;12
2124,0;13;17
2136,0;15;15
2148,0;13;17
2160,0;11;19
2172,0;13;17
2184,0;17;13
2196,0;13;17
2208,0;13;17
2220,0;8;22
2232,0;10;20
2244,0;14;16
2256,0;17;13
2268,0;12;18
2280,0;17;13
2292,0;17;13
2304,0;13;17
2316,0;18;12
2328,0;16;14
2340,0;11;19
2352,0;16;14
2364,0;14;16
2376,0;16;14
2388,0;16;14
2400,0;13;17
2412,0;11;19
2424,0;12;18
2436,0;15;15
2448,0;15;15
2460,0;12;18
2472,0;17;13
2484,0;16;14
2496,0;15;15
2508,0;14;16
2520,0;16;14
2532,0;13;17
2544,0;11;19
2556,0;19;11
2568,0;17;13
2580,0;14;16
2592,0;14;16
2604,0;13;17
2616,0;15;15
2628,0;15;15
2640,0;16;14
2652,0;14;16
2664,0;12;18
2676,0;15;15
2688,0;12;18
2700,0;9;21
2712,0;17;13
2724,0;15;15
2736,0;14;16
2748,0;17;13
2760,0;13;17
2772,0;20;10
2784,0;17;13
2796,0;17;13
2808,0;16;14
2820,0;16;14
2832,0;15;15
2844,0;12;18
2856,0;18;12
2868,0;14;16
2880,0;14;16
2892,0;12;18
2904,0;19;11
2916,0;8;22
2928,0;19;11
2940,0;11;19
2952,0;14;16
2964,0;14;16
2976,0;12;18
2988,0;14;16
3000,0;15;15
3012,0;19;11
3024,0;15;15
3036,0;18;12
3048,0;15;15
3060,0;17;13
3072,0;15;15
3084,0;20;10
3096,0;18;12
3108,0;10;20
3120,0;16;14
3132,0;11;19
3144,0;14;16
3156,0;16;14
3168,0;9;21
3180,0;14;16
3192,0;13;17
3204,0;12;18
3216,0;16;14
3228,0;16;14
3240,0;18;12
3252,0;17;13
3264,0;13;17
3276,0;19;11
3288,0;19;11
3300,0;18;12
3312,0;14;16
3324,0;19;11
3336,0;16;14
3348,0;19;11
3360,0;15;15
3372,0;17;13
3384,0;17;13
3396,0;15;15
3408,0;11;19
3420,0;18;12
3432,0;17;13
3444,0;18;12
3456,0;12;18
3468,0;13;17
3480,0;15;15
3492,0;13;17
3504,0;14;16
3516,0;20;10
3528,0;19;11
3540,0;15;15
3552,0;13;17
3564,0;16;14
3576,0;17;13
3588,0;21;9
