#auto generated file!
taskId;TASK_STATUS;deviceId(mobile);datacenterId(type);hostId (i.e., EdgeServerId);vmId;vmType;ApplicationID(taskType);taskLenght (Million Instruction);taskInputSize(KB, namely data to be uploaded);taskOutputSize(KB, namely data to be downloaded);taskStartTime(millisecond);taskEndTime(millisecond);taskStartDeviceEnergy(Watt-Hour);taskEndDeviceEnergy(Watt-Hour);taskStartDeviceEnergyPerc;taskEndDeviceEnergyPerc;getNetworkDelay;WLAN_DELAY;MAN_DELAY;WAN_DELAY;GSM_DELAY;TASK_FAIL_REASON
291;COMPLETED;15;1003;0;0;1;0;1590;1;2;180,17241859481945;180,57000946231886;6,276326873710819;6,276049095737667;98,70690274227813;98,70253416748405;9,086749940899212E-5;9,086749940899212E-5;0,0;0,0;0,0;COMLETED
292;COMPLETED;7;1003;0;0;1;0;3421;1;1;181,61272064391417;182,46800222429167;7,4730929889468145;7,472537433274542;98,90809362519343;98,90074071890302;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
293;COMPLETED;2;1003;0;1;1;0;2531;1;1;182,10444164595876;182,73725222429167;5,2034943735993915;5,202938817927119;98,43409918215849;98,42358977862708;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
294;COMPLETED;29;1003;0;0;1;0;3076;1;3;182,71760233107298;183,50650920126412;2,7533949235280257;2,7520060343651034;97,07184885932436;97,02288311243733;1,2115666587865615E-4;1,2115666587865615E-4;0,0;0,0;0,0;COMLETED
295;COMPLETED;0;1003;0;1;1;0;2362;1;1;182,97463804459827;183,56519862293118;8,091932423560438;8,090821312332611;98,98066512869363;98,96707399587076;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
299;COMPLETED;19;1003;0;1;1;0;1182;1;1;183,9553682382298;184,25078399682903;3,0562296012472934;3,055674045575021;97,31126360276086;97,29357454417428;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
296;COMPLETED;1;1003;1;2;1;0;5484;1;1;183,19393115576156;184,56495157323818;5,97536006294171;5,9736933961583265;98,6200443947018;98,5925369724817;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
302;COMPLETED;21;1003;1;2;1;0;1997;1;1;184,60069812296422;185,14335688252072;6,449786335257344;6,448953001807294;98,6950735719757;98,68232184627696;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
298;COMPLETED;26;1003;0;0;1;0;4861;1;1;183,47454190680904;185,26378399682903;6,464259417491461;6,462037195152522;98,7147038574656;98,6807686444851;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
301;COMPLETED;6;1003;0;1;1;0;1892;1;2;184,5199113651672;185,2838142859955;2,330311102112405;2,3289222129900833;96,48078456894673;96,4232810398774;9,086749940899212E-5;9,086749940899212E-5;0,0;0,0;0,0;COMLETED
305;COMPLETED;0;1003;1;2;1;0;627;1;1;185,2022724549557;185,51583303328863;8,089154645665944;8,08887686777145;98,94668729877796;98,94328951450149;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
300;COMPLETED;9;1003;0;0;1;0;3251;1;1;184,1474734184961;185,518283996829;7,405655747976041;7,403989081192657;98,8689192544161;98,84666848429687;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
297;COMPLETED;26;1003;1;3;1;0;9101;2;1;183,31161070573876;185,58675870129713;6,464537195345356;6,461759417296086;98,71894576002774;98,67652674188416;9,086749940899212E-5;9,086749940899212E-5;0,0;0,0;0,0;COMLETED
307;COMPLETED;20;1003;1;3;1;0;780;1;1;185,6224453983842;185,81750597671711;4,964078788375543;4,963801010481049;98,28408165511917;98,27858191459764;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
306;COMPLETED;24;1003;0;0;1;0;1378;1;1;185,5492798576734;185,893783996829;4,582993875217576;4,582438319545304;98,14988629174258;98,1379884521323;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
304;COMPLETED;4;1003;1;2;1;0;4825;1;1;185,0565463041878;186,46275597671712;8,035028908041777;8,032806685702838;98,94305146405911;98,91568709962898;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
308;COMPLETED;17;1003;0;0;1;0;1035;1;1;186,15205097575048;186,56464508952143;5,800918042903976;5,79980693163809;98,52332751344481;98,50445629714024;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
312;COMPLETED;2;1003;1;2;1;0;586;1;1;186,9253831347032;187,07194371303612;5,198216595704897;5,197938817810403;98,33425986737727;98,3290051645076;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
303;COMPLETED;6;1003;0;1;1;0;6913;1;1;184,71140104557486;187,08464508952144;2,3297555465187916;2,32697776846698;96,45778315960918;96,34277610945428;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
311;COMPLETED;10;1003;0;1;1;0;2107;1;1;186,36078043276643;187,24939508952144;6,322210199395502;6,321376865945452;98,63060931368426;98,6176087674595;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
313;COMPLETED;11;1003;1;2;1;0;309;1;1;187,2405702457055;187,3178808240384;9,203144036242021;9,202866258347527;99,0493079644622;99,04631836567845;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
309;COMPLETED;17;1003;1;3;1;0;5038;1;1;186,15973635679956;187,4191308240384;5,8006402650881395;5,799251376003876;98,51860970937946;98,49502068896638;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
310;COMPLETED;29;1003;0;0;1;0;4723;1;1;186,25658451118852;187,59134101109936;2,748950478809548;2,74783936758172;96,91515849054034;96,87598589664472;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
317;COMPLETED;7;1003;1;3;1;0;43;1;1;188,13930624110316;188,15011681943608;7,466148544385653;7,465870766491158;98,81618231432839;98,81250586041081;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
315;COMPLETED;19;1003;0;1;1;0;2068;1;1;187,95814225794678;188,46746162390778;3,0517851566861323;3,0503962676805267;97,16975116008231;97,12552851919033;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
318;COMPLETED;24;1003;1;3;1;0;1672;1;1;188,15737582341634;188,57543640174927;4,579660541767526;4,5791049860952535;98,07849926657896;98,06660142696867;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
319;COMPLETED;11;1003;0;0;1;0;848;2;1;188,25869328412833;188,68246162390778;9,201477369458637;9,200921813748307;99,03137037804049;99,02539118131955;9,086749940899212E-5;9,086749940899212E-5;0,0;0,0;0,0;COMLETED
320;COMPLETED;27;1003;0;1;1;0;608;1;1;188,61119901432713;188,76321162390778;3,844505160229587;3,844227382335093;97,70564780831931;97,69858826021175;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
314;COMPLETED;4;1003;0;0;1;0;3630;1;1;187,9506429409603;189,06995351929322;8,032251130147282;8,03030668558612;98,90884600888076;98,88490218982476;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
316;COMPLETED;29;1003;1;2;1;0;5997;1;1;188,01253815919316;189,51161681943609;2,7472838120261645;2,745339367426945;96,85639960175436;96,78784756418145;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
321;COMPLETED;29;1003;0;0;1;0;4112;1;1;189,086604879128;190,11444784061717;2,7458949230992173;2,7450615895705086;96,8074338631867;96,77805441396312;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
322;COMPLETED;6;1003;0;1;1;0;3092;1;1;189,46963726228427;190,24268557553324;2,32447776846698;2,3236444350169303;96,23926977452598;96,20476765805086;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
